model	method	threads	common_solved	wall_speedup_gmean	cpu_efficiency_gmean	rss_inverse_ratio_gmean
sc	caat	2	0			
sc	caat	4	0			
sc	caat	8	0			
sc	cat	2	0			
sc	cat	4	0			
sc	cat	8	0			
sc	genmc	2	0			
sc	genmc	4	0			
sc	genmc	8	0			
tso	caat	2	444	0.9428210092386791	0.8261089150216574	0.9991323042613879
tso	caat	4	427	1.0047041945933652	0.8093420835811329	0.9959814245700468
tso	caat	8	419	0.9851047264203951	0.7361263910018049	0.9775826513979425
tso	cat	2	402	1.0382823916601518	0.9213932726846354	0.997445306413932
tso	cat	4	396	1.0034682330202647	0.8400925495965734	0.9948607342754856
tso	cat	8	391	0.9326550073597739	0.7480613531644951	0.9891824509001551
tso	genmc	2	471	0.932253382217964	0.8105137739936056	0.9666619823775173
tso	genmc	4	462	1.0127967344398372	0.7983154233832641	0.9396703492930268
tso	genmc	8	454	1.009586804740694	0.7307650525052111	0.9496371003891787
pso	caat	2	0			
pso	caat	4	0			
pso	caat	8	0			
pso	cat	2	0			
pso	cat	4	0			
pso	cat	8	0			
