shape	outcome	mode	workers	status	elapsed_ns	gate	complete	fail_open	loads_reduced	error_sha256	warning_sha256
000000	0000	baseline	1	0	356308000		16	0	0	4351193f13482f1870741e6857258940817ba51914284682e896a3f0d27bc8e8	5eff143c29a6ae2177d8c74126604cd419d1a1cafa403aca38b7aa8d582648a5
000000	0000	rvf	1	0	62866250	enabled	8	0	2	4351193f13482f1870741e6857258940817ba51914284682e896a3f0d27bc8e8	5eff143c29a6ae2177d8c74126604cd419d1a1cafa403aca38b7aa8d582648a5
000000	0001	baseline	1	0	52241625		16	0	0	4351193f13482f1870741e6857258940817ba51914284682e896a3f0d27bc8e8	5eff143c29a6ae2177d8c74126604cd419d1a1cafa403aca38b7aa8d582648a5
000000	0001	rvf	1	0	51970542	enabled	8	0	2	4351193f13482f1870741e6857258940817ba51914284682e896a3f0d27bc8e8	5eff143c29a6ae2177d8c74126604cd419d1a1cafa403aca38b7aa8d582648a5
000000	0002	baseline	1	0	54532958		16	0	0	4351193f13482f1870741e6857258940817ba51914284682e896a3f0d27bc8e8	5eff143c29a6ae2177d8c74126604cd419d1a1cafa403aca38b7aa8d582648a5
000000	0002	rvf	1	0	54664000	enabled	8	0	2	4351193f13482f1870741e6857258940817ba51914284682e896a3f0d27bc8e8	5eff143c29a6ae2177d8c74126604cd419d1a1cafa403aca38b7aa8d582648a5
000000	0010	baseline	1	0	51871792		16	0	0	4351193f13482f1870741e6857258940817ba51914284682e896a3f0d27bc8e8	5eff143c29a6ae2177d8c74126604cd419d1a1cafa403aca38b7aa8d582648a5
000000	0010	rvf	1	0	52661500	enabled	8	0	2	4351193f13482f1870741e6857258940817ba51914284682e896a3f0d27bc8e8	5eff143c29a6ae2177d8c74126604cd419d1a1cafa403aca38b7aa8d582648a5
000000	0011	baseline	1	0	50792917		16	0	0	4351193f13482f1870741e6857258940817ba51914284682e896a3f0d27bc8e8	5eff143c29a6ae2177d8c74126604cd419d1a1cafa403aca38b7aa8d582648a5
000000	0011	rvf	1	0	52512083	enabled	8	0	2	4351193f13482f1870741e6857258940817ba51914284682e896a3f0d27bc8e8	5eff143c29a6ae2177d8c74126604cd419d1a1cafa403aca38b7aa8d582648a5
