   BENCHMARK INFORMATION
benchmark definition:    /workspace/experiments/fair-coverage/definitions/fair-census-shard2.xml
name:                    fair-census-shard2
run sets:                genmc-fair-sc.unreach-call
date:                    Wed, 2026-07-15 16:03:22 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /workspace/svcomp2026-caat/build/genmc-caat-llvm15noble/bin/genmc
options:                 --disable-estimation --disable-mm-detector --nthreads=1 --v1
parallel runs:           24
resource limits:
- memory:                4000.0 MB
- time:                  10 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    a3bec6ed9aa6
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.7450880001 MB
------------------------------------------------------------



genmc-fair-sc.unreach-call
Run set 1 of 1 with options '--disable-estimation --disable-mm-detector --nthreads=1 --v1 --svcomp-backend=genmc-sc' and propertyfile 'None'

inputfile                                                                                                                                                                          status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml                                                                                                             false(unreach-call)              0.08        0.08        None
goblint-regression/36-apron_16-traces-unprot2_true.yml                                                                                                                             true                             0.07        0.08        None
goblint-regression/13-privatized_47-refine-protected2_true.yml                                                                                                                     true                             0.07        0.08        None
goblint-regression/36-apron_11-traces-max-simple_true.yml                                                                                                                          true                             0.07        0.08        None
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml                                                                                                                  false(unreach-call)              0.07        0.08        None
goblint-regression/13-privatized_58-singlethreaded-lock_true.yml                                                                                                                   true                             0.07        0.08        None
goblint-regression/13-privatized_18-first-reads_unknown_1_pos.yml                                                                                                                  true                             0.07        0.07        None
goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml                                                                                                                  false(unreach-call)              0.07        0.08        None
goblint-regression/13-privatized_52-refine-protected-loop2-small_true.yml                                                                                                          TIMEOUT                         11.01       11.02        None
goblint-regression/13-privatized_18-first-reads_true.yml                                                                                                                           true                             0.07        0.08        None
goblint-regression/13-privatized_37-traces-ex-4_true.yml                                                                                                                           true                             0.07        0.08        None
goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml                                                                                                            false(unreach-call)              0.07        0.07        None
goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml                                                                                                            false(unreach-call)              0.07        0.08        None
goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml                                                                                  true                             0.07        0.08        None
goblint-regression/13-privatized_19-publish-precision_true.yml                                                                                                                     true                             0.07        0.08        None
goblint-regression/13-privatized_33-traces-v-matters_true.yml                                                                                                                      true                             0.07        0.08        None
goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml                                                                                                        true                             0.07        0.08        None
goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml                                                                                                                 false(unreach-call)              0.07        0.08        None
